"time","time2","richness_change","evenness_change","rank_change","gains","losses"
1,2,-0.305555555555556,-0.0717883517009084,0.196759259259259,0.138888888888889,0.444444444444444
2,3,-0.0689655172413793,0.0277995886040149,0.160523186682521,0.310344827586207,0.379310344827586
3,4,0.371428571428571,-0.0523305454321885,0.210612244897959,0.485714285714286,0.114285714285714
4,5,-0.25,0.0700619467364746,0.109567901234568,0.138888888888889,0.388888888888889
5,6,0.03125,0.1744747240258,0.1904296875,0.3125,0.28125
6,7,0.114285714285714,-0.211204278877992,0.199183673469388,0.342857142857143,0.228571428571429
7,8,-0.121212121212121,-0.0523288194420293,0.205693296602388,0.181818181818182,0.303030303030303
8,9,0,0.0210609085547998,0.144444444444444,0.233333333333333,0.233333333333333
9,10,-0.0303030303030303,0.05558873630549,0.173553719008264,0.303030303030303,0.333333333333333
10,11,-0.185185185185185,-0.0218193287045697,0.160493827160494,0.185185185185185,0.37037037037037
11,12,0,-0.00824098275443297,0.1968,0.32,0.32
12,13,0.428571428571429,-0.0264713664569404,0.18530612244898,0.514285714285714,0.0857142857142857
13,14,-0.230769230769231,-0.000954457667162067,0.162393162393162,0.179487179487179,0.41025641025641
14,15,-0.111111111111111,-0.0113229311806425,0.17283950617284,0.148148148148148,0.259259259259259
15,16,0.142857142857143,0.00164305221985728,0.182397959183673,0.285714285714286,0.142857142857143
16,17,-0.206896551724138,0.00358242832613365,0.205707491082045,0.172413793103448,0.379310344827586
17,18,-0.12,0.0154792858136494,0.1968,0.28,0.4
18,19,0.25,-0.00611535113510386,0.176020408163265,0.464285714285714,0.214285714285714
19,20,-0.296296296296296,-0.0850702615195726,0.171467764060357,0.185185185185185,0.481481481481481
20,21,0.366666666666667,0.109077257123113,0.198888888888889,0.533333333333333,0.166666666666667
21,22,-0.538461538461538,-0.0254948414942423,0.190828402366864,0.0384615384615385,0.576923076923077
22,23,0.363636363636364,0.0285270365083157,0.198347107438017,0.5,0.136363636363636
23,24,0.28125,0.053535852416707,0.2109375,0.40625,0.125
24,25,-0.303030303030303,0.0744948994677141,0.18732782369146,0.151515151515152,0.454545454545455
25,26,0.115384615384615,-0.077567228899548,0.196745562130177,0.307692307692308,0.192307692307692
26,27,0.0645161290322581,-0.114429489083636,0.176899063475546,0.32258064516129,0.258064516129032
27,28,0.135135135135135,0.0529796471230966,0.170927684441198,0.378378378378378,0.243243243243243
28,29,-0.138888888888889,0.037392703752375,0.176697530864198,0.222222222222222,0.361111111111111
29,30,0,0.00127135507901399,0.198751300728408,0.258064516129032,0.258064516129032
30,31,-0.608695652173913,0.0139680927821131,0.196597353497164,0,0.608695652173913
31,32,0.409090909090909,-0.0403375901003267,0.196280991735537,0.590909090909091,0.181818181818182
32,33,0.522727272727273,-0.000926990241198133,0.213326446280992,0.590909090909091,0.0681818181818182
33,34,-0.744186046511628,-0.00254692587538718,0.321254732287723,0.0465116279069767,0.790697674418605
34,35,0.5,-0.00183131879614096,0.236111111111111,0.625,0.125
35,36,-0.0357142857142857,0.0782121529843139,0.224489795918367,0.25,0.285714285714286
